CustomerID,Recency,Frequency,Monetary,Cluster_KMeans,Cluster_Hierarchical,Cluster_DBSCAN,Cluster,PC1,PC2,PC3
12347,2,7,4310.0,0,0,0,0,2.3292781694779032,-0.07256833846108046,-0.7294978488839908
12348,75,4,1797.24,0,0,0,0,0.2680857030334074,-0.03402458880856113,-0.17288196014274093
12349,19,1,1757.55,0,0,0,0,-0.11078305734764371,-0.2842662813527362,-0.9220165344998208
12350,310,1,334.4,0,0,0,0,-1.3677604944705544,1.4708345965989635,0.49856130033644175
12352,36,8,2506.04,0,0,0,0,1.3252951848490395,-0.35936916392523877,0.23438492991205212
12353,204,1,89.0,0,0,0,0,-1.376378049284169,0.6286697891977775,0.261383405569695
12354,232,1,1079.4,0,0,0,0,-0.8088104027535962,1.0969434503098736,-0.015615733174141139
12355,214,1,459.4,0,0,0,0,-1.1634846096060587,0.8003417780192437,0.15633215137064693
12356,23,3,2811.43,0,0,0,0,0.8137083814919048,-0.08891298852921886,-0.9025180486041494
12357,33,1,6207.67,1,0,-1,1,2.5884465332167137,1.0002190483037108,-2.5118137005871715
12358,2,2,1168.06,0,0,0,0,-0.3050708196290507,-0.6223634005241927,-0.561236509355464
12359,58,4,6310.03,1,0,0,1,3.0469022926975393,1.039871312175069,-1.8813758188161094
12360,52,3,2662.06,0,0,0,0,0.6838350984537271,0.08399042008134483,-0.7581800694884593
12361,287,1,189.9,0,0,0,0,-1.4253625084016381,1.2638657771449873,0.48058431433481263
12362,3,10,5226.23,1,0,0,1,3.3167837863630947,0.007309107677334226,-0.47180751993280445
12363,110,2,552.0,0,0,0,0,-0.8252505170098223,0.005674891437382035,-0.001763070714308812
12364,8,4,1313.1,0,0,0,0,0.06168629105638812,-0.6537198136693942,-0.2020559129462669
12365,291,2,641.38,0,0,0,0,-1.0118688384674546,1.3561619561517122,0.5241985106474308
12367,4,1,168.9,0,0,0,0,-1.0610528563792125,-0.8161319044349622,-0.3853515851020516
12370,51,4,3541.94,0,0,0,0,1.3656348938187246,0.25341062385547564,-0.8872069258940097
12371,45,2,1887.96,0,0,0,0,0.07730092794828569,-0.11597757078723153,-0.692666841331712
12372,72,3,1298.04,0,0,0,0,-0.17588532952532837,-0.13166414785350966,-0.1958977489851929
12373,311,1,364.6,0,0,0,0,-1.3506486431064688,1.4861852268188245,0.49056618158204046
12374,25,1,742.9300000000001,0,0,0,0,-0.7384524762664781,-0.5097486312812918,-0.5311690934088987
12375,11,2,457.5,0,0,0,0,-0.7510351565036951,-0.7451031073587365,-0.2727057144134766
12377,315,2,1628.12,0,0,0,0,-0.4412059828317634,1.7941431626270747,0.23619414797425597
12378,130,1,4008.62,0,0,0,0,1.1161233167646711,1.127215332247362,-1.4054040086965407
12379,82,2,852.24,0,0,0,0,-0.6045668398456372,-0.119830322555951,-0.19837723646836533
12380,22,4,2724.81,0,0,0,0,0.9052235859942421,-0.1761760613777593,-0.6768780274937286
12381,5,5,1845.31,0,0,0,0,0.5338138017820746,-0.5912940983488444,-0.2096759214922513
12383,185,5,1850.56,0,0,0,0,0.2971461763113933,0.7295195952162294,0.3440709335172536
12384,29,2,585.27,0,0,0,0,-0.6969877309862841,-0.5792279836992268,-0.26402485905170847
12386,338,2,401.9,0,0,0,0,-1.2207637147747257,1.6370758714424294,0.7571705983821885
12388,16,6,2780.66,0,0,0,0,1.233499994091913,-0.3191808669532431,-0.32201315823672333
12390,80,1,549.84,0,0,0,0,-0.9296759818910694,-0.15787358776454913,-0.2905236865320171
12391,22,1,439.66,0,0,0,0,-0.9196750701298286,-0.6122814660064138,-0.4291423456906288
12393,72,4,1582.6000000000001,0,0,0,0,0.14099339710400183,-0.11301904918596728,-0.10337888066476135
12394,64,2,1272.48,0,0,0,0,-0.3239201539935228,-0.140164833259444,-0.4081558627018639
12395,19,12,3018.63,0,0,0,0,2.233352544380387,-0.5755608619900108,0.7815686863757306
12397,36,2,2409.9,0,0,0,0,0.4080666310634735,-0.0433316038767107,-0.9119816337521655
12398,46,1,1635.6599999999999,0,0,0,0,-0.22120781357957953,-0.118724943994517,-0.7939367660865063
12399,119,4,1108.65,0,0,0,0,-0.2111027497874059,0.10562427337870994,0.21563432737125832
12401,303,1,84.3,0,0,0,0,-1.5111792674349687,1.3531022307864784,0.5687284851194415
12402,323,1,225.6,0,0,0,0,-1.4515337354374287,1.5372308702656325,0.578618519991728
12403,50,1,427.7,0,0,0,0,-0.9642933134048388,-0.41021478798329947,-0.3383154199265404
12405,149,1,1710.39,0,0,0,0,-0.31282812759218276,0.6561229650293652,-0.5033910247485336
12406,22,2,3415.3,0,0,0,0,1.040766053580399,0.12106123437218774,-1.3241422986280145
12407,50,5,1708.1200000000001,0,0,0,0,0.3900572507729603,-0.2978741985172568,-0.020414324963717978
12408,33,5,2888.55,0,0,0,0,1.133653189420959,-0.10898717874037783,-0.5060652286871418
12409,79,3,11072.67,1,0,-1,1,5.784588067556139,2.5155949315553876,-3.7611868322753783
12410,309,2,693.3299999999999,0,0,0,0,-1.0041280634199936,1.5019007880020847,0.5607022761522521
12412,75,3,1226.88,0,0,0,0,-0.2233438110439807,-0.12857251257569935,-0.16052364936946895
12413,67,3,758.1,0,0,0,0,-0.4989875648973582,-0.3117120673021388,-0.013196717715968309
12414,217,3,562.41,0,0,0,0,-0.8183991910592302,0.7358327051979698,0.521674854957739
12417,3,9,3649.1,0,0,0,0,2.21047499909088,-0.354617007921575,-0.09000485088042845
